"survey","survey_year","survey_name","canonical_name","canonical_operator","technology"
"AC Transit",2018,"ROUTE 72M - Richmond - Downtown Oakland [TO PT RICHMOND or RICHMOND BART]","AC TRANSIT___72M Point Richmond to Oakland Amtrak","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 1 - San Leandro Bart- Dtn. Oakland [TO SAN LEANDRO BART]","AC TRANSIT___1 Berkeley BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 1 - San Leandro Bart- Dtn. Oakland [TO DOWNTOWN OAKLAND]","AC TRANSIT___1 Berkeley BART to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 72M - Richmond - Downtown Oakland [TO JACK LONDON SQUARE]","AC TRANSIT___72M Point Richmond to Oakland Amtrak","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE C - San Francisco - Piedmont [TO SAN FRANCISCO]","AC TRANSIT___C Highland Ave Piedmont","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE C - San Francisco - Piedmont [TO PIEDMONT]","AC TRANSIT___C Highland Ave Piedmont","AC TRANSIT","express bus"
"AC Transit",2018,"ROUTE 51A - Oakland/Alameda/Fruitvale Bart [TO FRUITVALE BART]","AC TRANSIT___51A Rockridge BART to Fruitvale BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 14 - W. Oakland Bart/Fruitval Bart [TO FRUITVALE BART]","AC TRANSIT___14 Downtown Oakland to Fruitvale BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 51A - Oakland/Alameda/Fruitvale Bart [TO ROCKRIDGE BART]","AC TRANSIT___51A Rockridge BART to Fruitvale BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 72 - Richmond - Downtown Oakland [TO HILLTOP MALL/CC COLL/DEL NORTE BART]","AC TRANSIT___72 Hilltop Mall to Oakland Amtrak","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 72 - Richmond - Downtown Oakland [TO JACK LONDON SQUARE]","AC TRANSIT___72 Hilltop Mall to Oakland Amtrak","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 40 - Dtn. Oakland/Eastmont T.C./Bayfair Bart [TO EASTMONT TC or BAYFAIR BART]","AC TRANSIT___40 Downtown Oakland to Bay Fair BART","AC TRANSIT","local bus"
"AC Transit",2018,"ROUTE 40 - Dtn. Oakland/Eastmont T.C./Bayfair Bart [TO DOWNTOWN OAKLAND]","AC TRANSIT___40 Downtown Oakland to Bay Fair BART","AC TRANSIT","local bus"
