route,direction,stop_location,stop_sequence,segment
1,INBOUND,GEARY BLVD&33RD AVE NE-NS,1,A
1,INBOUND,33RD AVE&CLEMENT ST SE-NS,2,A
1,INBOUND,32ND AVE&CLEMENT ST NE-FS,3,A
1,INBOUND,32ND AVE&CALIFORNIA ST SE,4,A
1,INBOUND,CALIFORNIA ST&30TH AVE SE,5,A
1,INBOUND,CALIFORNIA ST&28TH AVE SW,6,A
1,INBOUND,CALIFORNIA ST&25TH AVE SW,7,A
1,INBOUND,CALIFORNIA ST&22ND AVE SW,8,A
1,INBOUND,CALIFORNIA ST&19TH AVE SW,9,A
1,INBOUND,CALIFORNIA ST&16TH AVE SW,10,A
1,INBOUND,CALIFORNIA ST&PARK PRESID,11,A
1,INBOUND,CALIFORNIA ST&12TH AVE SW,12,A
1,INBOUND,CALIFORNIA ST&10TH AVE SW,13,A
1,INBOUND,CALIFORNIA ST&8TH AVE SW-,14,A
1,INBOUND,CALIFORNIA ST&6TH AVE SW-,15,A
1,INBOUND,CALIFORNIA ST&6TH AVE SW-,16,A
1,INBOUND,CALIFORNIA ST&4TH AVE SW-,17,A
1,INBOUND,CALIFORNIA ST&ARGUELLO BL,18,A
1,INBOUND,CALIFORNIA ST&CHERRY ST S,19,A
1,INBOUND,CALIFORNIA ST&SPRUCE ST S,20,A
1,INBOUND,CALIFORNIA ST&LAUREL ST S,21,A
1,INBOUND,CALIFORNIA ST&PRESIDIO A,22,B
1,INBOUND,CALIFORNIA ST&PRESIDIO AV,22,B
1,INBOUND,CALIFORNIA ST&BAKER ST SE,23,B
1,INBOUND,CALIFORNIA ST&DIVISADERO,24,B
1,INBOUND,CALIFORNIA ST&PIERCE ST S,25,B
1,INBOUND,STEINER ST&SACRAMENTO ST,27,B
1,INBOUND,SACRAMENTO ST&FILLMORE ST,28,B
1,INBOUND,SACRAMENTO ST&WEBSTER ST,29,B
1,INBOUND,SACRAMENTO ST&BUCHANAN ST,30,B
1,INBOUND,SACRAMENTO ST&LAGUNA ST S,31,B
1,INBOUND,SACRAMENTO ST&OCTAVIA ST,32,B
1,INBOUND,GOUGH ST&SACRAMENTO ST NE,33,B
1,INBOUND,CLAY ST&FRANKLIN ST SW-NS,34,B
1,INBOUND,CLAY ST&VAN NESS AVE SW-N,35,C
1,INBOUND,CLAY ST&POLK ST SE-FS/BZ,36,C
1,INBOUND,CLAY ST&LARKIN ST SW-NS/B,37,C
1,INBOUND,CLAY ST&HYDE ST SW-NS/BZ,38,C
1,INBOUND,CLAY ST&LEAVENWORTH ST SW,39,C
1,INBOUND,CLAY ST&JONES ST SW-NS/BZ,40,C
1,INBOUND,CLAY ST&TAYLOR ST SE-FS/B,41,C
1,INBOUND,CLAY ST&MASON ST SE-FS/BZ,42,C
1,INBOUND,CLAY ST&POWELL ST SW-NS/B,43,C
1,INBOUND,CLAY ST&STOCKTON ST SE-FS,44,C
1,INBOUND,CLAY ST&GRANT AVE SE-FS/B,45,C
1,INBOUND,CLAY ST&KEARNY ST SE-FS/B,46,C
1,INBOUND,CLAY ST&MONTGOMERY ST SE-,47,C
1,INBOUND,CLAY ST&SANSOME ST SE-FS/,48,C
1,INBOUND,CLAY ST&FRONT ST SE-FS/BZ,49,C
1,INBOUND,CLAY ST&DRUMM ST SW-NS/B,50,C
14,INBOUND,MISSION ST&SAN JOSE AVE O,1,A
14,INBOUND,MISSION ST&EVERGREEN ST E,2,A
14,INBOUND,MISSION ST&ACTON ST E-FS/,3,A
14,INBOUND,MISSION ST&OLIVER ST E-FS,4,A
14,INBOUND,MISSION ST&WHITTIER ST S-,5,A
14,INBOUND,MISSION ST&LOWELL ST E-FS,6,A
14,INBOUND,MISSION ST&GUTTENBERG ST,7,A
14,INBOUND,MISSION ST&ALLISON ST S-N,8,A
14,INBOUND,MISSION ST&ALLISON ST S-N,9,A
14,INBOUND,MISSION ST&GENEVA AVE E-F,10,A
14,INBOUND,MISSION ST&ITALY AVE E-FS,11,A
14,INBOUND,MISSION ST&PERSIA AVE E-F,12,A
14,INBOUND,MISSION ST&BRAZIL AVE S-N,13,A
14,INBOUND,MISSION ST&EXCELSIOR AVE,14,A
14,INBOUND,MISSION ST&BRAZIL AVE S-N,15,A
14,INBOUND,MISSION ST&EXCELSIOR AVE,16,A
14,INBOUND,MISSION ST&MURRAY ST NE-F,17,A
14,INBOUND,MISSION ST&RICHLAND AVE S,18,A
14,INBOUND,MISSION ST&HIGHLAND AVE N,19,A
